iter	Passed	Remaining
0	438	437926
1	656	327418
2	862	286663
3	1077	268328
4	1271	253076
5	1476	244524
6	1669	236781
7	1861	230858
8	2033	223935
9	2207	218556
10	2413	217004
11	2647	217987
12	2898	220056
13	3191	224746
14	3456	226947
15	3736	229800
16	3990	230753
17	4282	233626
18	4595	237249
19	4856	237986
20	5100	237757
21	5347	237711
22	5579	237013
23	5859	238291
24	6123	238831
25	6448	241553
26	6801	245122
27	7080	245799
28	7411	248164
29	7745	250453
30	8022	250781
31	8328	251947
32	8604	252128
33	8880	252301
34	9095	250763
35	9321	249612
36	9578	249312
37	9893	250465
38	10126	249537
39	10384	249239
40	10651	249152
41	10943	249610
42	11191	249072
43	11403	247762
44	11694	248173
45	11983	248518
46	12291	249220
47	12586	249641
48	12917	250703
49	13187	250556
50	13504	251285
51	13780	251222
52	14012	250368
53	14265	249911
54	14575	250436
55	14844	250228
56	15084	249552
57	15420	250456
58	15669	249914
59	16024	251046
60	16323	251274
61	16601	251172
62	16868	250878
63	17114	250298
64	17412	250476
65	17697	250453
66	18035	251146
67	18313	251006
68	18601	250980
69	18959	251884
70	19293	252450
71	19626	252969
72	19936	253165
73	20226	253101
74	20565	253641
75	20874	253787
76	21149	253519
77	21433	253354
78	21718	253201
79	21975	252720
80	22233	252255
81	22536	252301
82	22814	252062
83	23087	251767
84	23351	251373
85	23656	251419
86	23978	251632
87	24270	251528
88	24521	250998
89	24847	251239
90	25120	250926
91	25412	250805
92	25720	250840
93	26027	250856
94	26310	250640
95	26588	250373
96	26897	250400
97	27243	250749
98	27528	250541
99	27828	250459
100	28138	250464
101	28374	249805
102	28587	248961
103	28887	248874
104	29168	248624
105	29490	248721
106	29811	248803
107	30070	248363
108	30340	248009
109	30609	247658
110	30922	247659
111	31178	247201
112	31482	247121
113	31810	247225
114	32085	246915
115	32323	246328
116	32601	246044
117	32909	245986
118	33199	245785
119	33521	245822
120	33841	245836
121	34102	245424
122	34354	244951
123	34755	245533
124	35063	245442
125	35354	245235
126	35591	244654
127	35884	244460
128	36155	244119
129	36441	243875
